Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2014,Annual,Air Pollution,South Carolina,30,9.5,-0.22,,
2014,Annual,Air Pollution,South Dakota,4,6.3,-2,,
2014,Annual,Air Pollution,Tennessee,30,9.5,-0.22,,
2014,Annual,Air Pollution,Texas,40,10.2,0.17,,
2014,Annual,Air Pollution,Utah,39,10.1,0.11,,
2014,Annual,Air Pollution,Vermont,6,6.4,-1.96,,
2014,Annual,Air Pollution,Virginia,19,8.7,-0.67,,
2014,Annual,Air Pollution,Washington,16,8.1,-1.01,,
2014,Annual,Air Pollution,West Virginia,34,9.8,-0.06,,
2014,Annual,Air Pollution,Wisconsin,27,9.3,-0.34,,
2014,Annual,Air Pollution,Wyoming,2,5,-2,,
2014,Annual,Air Pollution,United States,,9.9,,,
2014,Annual,Air Pollution,District of Columbia,,11.3,,,
2014,Annual,All Determinants,Alaska,29,-0.058,,,
2014,Annual,All Determinants,Alabama,41,-0.335,,,
2014,Annual,All Determinants,United States,,,,,
2014,Annual,All Determinants,Arkansas,49,-0.655,,,
2014,Annual,All Determinants,Arizona,28,-0.008,,,
2014,Annual,All Determinants,California,17,0.294,,,
2014,Annual,All Determinants,Colorado,11,0.35,,,
2014,Annual,All Determinants,Connecticut,4,0.56,,,
2014,Annual,All Determinants,District of Columbia,,,,,
2014,Annual,All Determinants,Delaware,33,-0.126,,,
2014,Annual,All Determinants,Florida,31,-0.098,,,
2014,Annual,All Determinants,Georgia,40,-0.292,,,
2014,Annual,All Determinants,Hawaii,3,0.567,,,
2014,Annual,All Determinants,Iowa,25,0.074,,,
2014,Annual,All Determinants,Idaho,20,0.229,,,
2014,Annual,All Determinants,Illinois,30,-0.066,,,
2014,Annual,All Determinants,Indiana,39,-0.257,,,
2014,Annual,All Determinants,Kansas,27,0.003,,,
2014,Annual,All Determinants,Kentucky,47,-0.487,,,
2014,Annual,All Determinants,Louisiana,48,-0.53,,,
2014,Annual,All Determinants,Massachusetts,2,0.597,,,
2014,Annual,All Determinants,Maryland,16,0.305,,,
2014,Annual,All Determinants,Maine,18,0.289,,,
2014,Annual,All Determinants,Michigan,32,-0.1,,,
2014,Annual,All Determinants,Minnesota,7,0.4,,,
2014,Annual,All Determinants,Missouri,37,-0.241,,,
2014,Annual,All Determinants,Mississippi,50,-0.661,,,
2014,Annual,All Determinants,Montana,23,0.162,,,
2014,Annual,All Determinants,North Carolina,36,-0.173,,,
2014,Annual,All Determinants,North Dakota,13,0.333,,,
2014,Annual,All Determinants,Nebraska,10,0.36,,,
2014,Annual,All Determinants,New Hampshire,5,0.518,,,
2014,Annual,All Determinants,New Jersey,12,0.337,,,
2014,Annual,All Determinants,New Mexico,34,-0.164,,,
2014,Annual,All Determinants,Nevada,42,-0.373,,,
2014,Annual,All Determinants,New York,9,0.37,,,
2014,Annual,All Determinants,Ohio,38,-0.249,,,
2014,Annual,All Determinants,Oklahoma,45,-0.444,,,
2014,Annual,All Determinants,Oregon,8,0.376,,,
2014,Annual,All Determinants,Pennsylvania,26,0.054,,,
2014,Annual,All Determinants,Rhode Island,15,0.307,,,
2014,Annual,All Determinants,South Carolina,46,-0.448,,,
2014,Annual,All Determinants,South Dakota,21,0.182,,,
2014,Annual,All Determinants,Tennessee,44,-0.429,,,
2014,Annual,All Determinants,Texas,35,-0.172,,,
2014,Annual,All Determinants,Utah,6,0.468,,,
2014,Annual,All Determinants,Virginia,19,0.241,,,
2014,Annual,All Determinants,Vermont,1,0.709,,,
2014,Annual,All Determinants,Washington,14,0.33,,,
2014,Annual,All Determinants,Wisconsin,22,0.165,,,
2014,Annual,All Determinants,West Virginia,43,-0.403,,,
2014,Annual,All Determinants,Wyoming,24,0.118,,,
2014,Annual,All Outcomes,Alaska,6,0.183,,,
2014,Annual,All Outcomes,Alabama,49,-0.329,,,
2014,Annual,All Outcomes,United States,,,,,
2014,Annual,All Outcomes,Arkansas,45,-0.279,,,
2014,Annual,All Outcomes,Arizona,32,-0.03,,,
2014,Annual,All Outcomes,California,24,0.054,,,
2014,Annual,All Outcomes,Colorado,4,0.223,,,
2014,Annual,All Outcomes,Connecticut,7,0.178,,,
2014,Annual,All Outcomes,District of Columbia,,,,,
2014,Annual,All Outcomes,Delaware,37,-0.1,,,
2014,Annual,All Outcomes,Florida,36,-0.051,,,
2014,Annual,All Outcomes,Georgia,32,-0.03,,,
2014,Annual,All Outcomes,Hawaii,1,0.344,,,
2014,Annual,All Outcomes,Iowa,13,0.142,,,
2014,Annual,All Outcomes,Idaho,16,0.108,,,
2014,Annual,All Outcomes,Illinois,31,-0.012,,,
2014,Annual,All Outcomes,Indiana,41,-0.124,,,
2014,Annual,All Outcomes,Kansas,18,0.074,,,
2014,Annual,All Outcomes,Kentucky,43,-0.265,,,
2014,Annual,All Outcomes,Louisiana,44,-0.273,,,
2014,Annual,All Outcomes,Massachusetts,11,0.144,,,
2014,Annual,All Outcomes,Maryland,25,0.05,,,
2014,Annual,All Outcomes,Maine,29,0.014,,,
2014,Annual,All Outcomes,Michigan,38,-0.105,,,
2014,Annual,All Outcomes,Minnesota,2,0.326,,,
2014,Annual,All Outcomes,Missouri,34,-0.04,,,
2014,Annual,All Outcomes,Mississippi,50,-0.339,,,
2014,Annual,All Outcomes,Montana,15,0.117,,,
2014,Annual,All Outcomes,North Carolina,40,-0.114,,,
2014,Annual,All Outcomes,North Dakota,5,0.217,,,
2014,Annual,All Outcomes,Nebraska,12,0.143,,,
2014,Annual,All Outcomes,New Hampshire,8,0.16,,,
2014,Annual,All Outcomes,New Jersey,14,0.136,,,
2014,Annual,All Outcomes,New Mexico,30,-0.01,,,
2014,Annual,All Outcomes,Nevada,26,0.039,,,
2014,Annual,All Outcomes,New York,28,0.019,,,
2014,Annual,All Outcomes,Ohio,39,-0.109,,,
2014,Annual,All Outcomes,Oklahoma,47,-0.299,,,
2014,Annual,All Outcomes,Oregon,27,0.032,,,
2014,Annual,All Outcomes,Pennsylvania,35,-0.045,,,
2014,Annual,All Outcomes,Rhode Island,22,0.06,,,
2014,Annual,All Outcomes,South Carolina,42,-0.193,,,
2014,Annual,All Outcomes,South Dakota,9,0.155,,,
2014,Annual,All Outcomes,Tennessee,46,-0.285,,,
2014,Annual,All Outcomes,Texas,21,0.063,,,
2014,Annual,All Outcomes,Utah,3,0.261,,,
2014,Annual,All Outcomes,Virginia,23,0.058,,,
2014,Annual,All Outcomes,Vermont,10,0.145,,,
2014,Annual,All Outcomes,Washington,19,0.069,,,
2014,Annual,All Outcomes,Wisconsin,20,0.067,,,
2014,Annual,All Outcomes,West Virginia,48,-0.31,,,
2014,Annual,All Outcomes,Wyoming,17,0.091,,,
2014,Annual,Binge Drinking,Alabama,2,11.2,-1.8,12.4,9.9
2014,Annual,Binge Drinking,Alaska,43,19.5,0.87,21.3,17.8
2014,Annual,Binge Drinking,Arizona,10,13.4,-1.09,15.4,11.4
2014,Annual,Binge Drinking,Arkansas,6,12.5,-1.38,14,11.1
2014,Annual,Binge Drinking,California,34,17.4,0.19,18.5,16.4
2014,Annual,Binge Drinking,Colorado,39,18.5,0.55,19.4,17.5
2014,Annual,Binge Drinking,Connecticut,37,18.2,0.45,19.6,16.8
2014,Annual,Binge Drinking,Delaware,28,17,0.06,18.5,15.5
2014,Annual,Binge Drinking,Florida,19,15.6,-0.39,16.6,14.6
2014,Annual,Binge Drinking,Georgia,9,13.1,-1.19,14.2,12
2014,Annual,Binge Drinking,Hawaii,38,18.3,0.48,19.6,17
2014,Annual,Binge Drinking,Idaho,14,14.9,-0.61,16.4,13.4
2014,Annual,Binge Drinking,Illinois,48,21.8,1.61,23.5,20.1
2014,Annual,Binge Drinking,Indiana,16,15,-0.58,16,14
2014,Annual,Binge Drinking,Iowa,47,21.7,1.57,23,20.3
2014,Annual,Binge Drinking,Kansas,18,15.4,-0.45,16,14.7
2014,Annual,Binge Drinking,Kentucky,10,13.4,-1.09,14.5,12.3
2014,Annual,Binge Drinking,Louisiana,21,16.3,-0.16,18.2,14.5
2014,Annual,Binge Drinking,Maine,31,17.2,0.13,18.4,16
2014,Annual,Binge Drinking,Maryland,12,14.2,-0.84,15.2,13.2
2014,Annual,Binge Drinking,Massachusetts,42,19.4,0.84,20.5,18.3
2014,Annual,Binge Drinking,Michigan,40,18.9,0.67,19.9,17.9
2014,Annual,Binge Drinking,Minnesota,46,21,1.35,22.2,19.8
2014,Annual,Binge Drinking,Mississippi,5,12.4,-1.41,13.6,11.1
2014,Annual,Binge Drinking,Missouri,31,17.2,0.13,18.7,15.7
2014,Annual,Binge Drinking,Montana,45,20.8,1.29,22,19.6
2014,Annual,Binge Drinking,Nebraska,44,20,1.03,21,18.9
2014,Annual,Binge Drinking,Nevada,17,15.2,-0.51,17.1,13.2
2014,Annual,Binge Drinking,New Hampshire,26,16.8,0,18.2,15.5
2014,Annual,Binge Drinking,New Jersey,21,16.3,-0.16,17.3,15.3
2014,Annual,Binge Drinking,New Mexico,13,14.5,-0.74,15.6,13.3
2014,Annual,Binge Drinking,New York,34,17.4,0.19,18.5,16.2
2014,Annual,Binge Drinking,North Carolina,8,13,-1.22,14.1,12
2014,Annual,Binge Drinking,North Dakota,50,23.8,2,25.3,22.3
2014,Annual,Binge Drinking,Ohio,29,17.1,0.1,18.2,16
2014,Annual,Binge Drinking,Oklahoma,7,12.7,-1.32,13.7,11.6
2014,Annual,Binge Drinking,Oregon,23,16.5,-0.1,17.8,15.2
2014,Annual,Binge Drinking,Pennsylvania,31,17.2,0.13,18.1,16.2
2014,Annual,Binge Drinking,Rhode Island,36,17.8,0.32,19.3,16.4
2014,Annual,Binge Drinking,South Carolina,14,14.9,-0.61,16,13.9
2014,Annual,Binge Drinking,South Dakota,41,19.2,0.77,20.8,17.6
2014,Annual,Binge Drinking,Tennessee,1,9.6,-2,10.8,8.4
2014,Annual,Binge Drinking,Texas,25,16.7,-0.03,17.8,15.5
2014,Annual,Binge Drinking,Utah,4,12.3,-1.45,13.1,11.5
2014,Annual,Binge Drinking,Vermont,29,17.1,0.1,18.5,15.8
2014,Annual,Binge Drinking,Virginia,20,15.9,-0.29,17.1,14.8
2014,Annual,Binge Drinking,Washington,26,16.8,0,17.8,15.8
2014,Annual,Binge Drinking,West Virginia,2,11.2,-1.8,12.2,10.1
2014,Annual,Binge Drinking,Wisconsin,49,22.5,1.83,24.2,20.8
2014,Annual,Binge Drinking,Wyoming,24,16.6,-0.06,18.1,15.1
2014,Annual,Binge Drinking,United States,,16.8,,16.8,16.3
2014,Annual,Binge Drinking,District of Columbia,,22.4,,24.5,20.2
2014,Annual,Cancer Deaths,Alabama,43,211.5,1.25,213.8,209.2
2014,Annual,Cancer Deaths,Alaska,27,191.8,0.11,199.4,184.3
2014,Annual,Cancer Deaths,Arizona,5,170.2,-1.14,172,168.3
2014,Annual,Cancer Deaths,Arkansas,46,214.9,1.45,217.9,211.9
2014,Annual,Cancer Deaths,California,6,171,-1.09,171.8,170.2
2014,Annual,Cancer Deaths,Colorado,3,163,-1.56,165.1,160.8
2014,Annual,Cancer Deaths,Connecticut,9,177,-0.75,179.4,174.6
2014,Annual,Cancer Deaths,Delaware,37,201.9,0.69,207.1,196.7
2014,Annual,Cancer Deaths,Florida,15,182.7,-0.42,183.7,181.7
2014,Annual,Cancer Deaths,Georgia,29,192.3,0.14,194,190.5
2014,Annual,Cancer Deaths,Hawaii,2,155.3,-2,158.9,151.6
2014,Annual,Cancer Deaths,Idaho,8,174.6,-0.89,178.5,170.8
2014,Annual,Cancer Deaths,Illinois,34,197.9,0.46,199.3,196.4
2014,Annual,Cancer Deaths,Indiana,42,208.2,1.06,210.3,206.2
2014,Annual,Cancer Deaths,Iowa,27,191.8,0.11,194.5,189.1
2014,Annual,Cancer Deaths,Kansas,25,190.9,0.06,193.9,188
2014,Annual,Cancer Deaths,Kentucky,50,228.3,2,230.8,225.7
2014,Annual,Cancer Deaths,Louisiana,47,217.4,1.59,219.9,214.8
2014,Annual,Cancer Deaths,Maine,40,205.4,0.9,209.5,201.4
2014,Annual,Cancer Deaths,Maryland,20,187.7,-0.13,189.8,185.6
2014,Annual,Cancer Deaths,Massachusetts,19,186.8,-0.18,188.6,184.9
2014,Annual,Cancer Deaths,Michigan,35,199.7,0.57,201.3,198.1
2014,Annual,Cancer Deaths,Minnesota,13,180.9,-0.52,182.9,178.8
2014,Annual,Cancer Deaths,Mississippi,49,223.7,1.96,226.9,220.6
2014,Annual,Cancer Deaths,Missouri,39,204.8,0.86,206.8,202.8
2014,Annual,Cancer Deaths,Montana,11,179.8,-0.58,184.4,175.3
2014,Annual,Cancer Deaths,Nebraska,16,184.7,-0.3,188.3,181.2
2014,Annual,Cancer Deaths,Nevada,22,188,-0.11,191.2,184.8
2014,Annual,Cancer Deaths,New Hampshire,26,191.6,0.1,195.8,187.4
2014,Annual,Cancer Deaths,New Jersey,18,185.5,-0.25,187.1,183.9
2014,Annual,Cancer Deaths,New Mexico,4,167.1,-1.32,170.3,163.9
2014,Annual,Cancer Deaths,New York,10,179.7,-0.59,180.8,178.6
2014,Annual,Cancer Deaths,North Carolina,33,196.2,0.36,197.8,194.6
2014,Annual,Cancer Deaths,North Dakota,7,173.7,-0.94,179.2,168.3
2014,Annual,Cancer Deaths,Ohio,41,207.7,1.03,209.1,206.2
2014,Annual,Cancer Deaths,Oklahoma,45,214.1,1.4,216.8,211.4
2014,Annual,Cancer Deaths,Oregon,30,192.4,0.14,194.9,190
2014,Annual,Cancer Deaths,Pennsylvania,36,200.3,0.6,201.6,198.9
2014,Annual,Cancer Deaths,Rhode Island,24,189.9,0,194.5,185.4
2014,Annual,Cancer Deaths,South Carolina,38,203.5,0.79,205.8,201.1
2014,Annual,Cancer Deaths,South Dakota,21,187.9,-0.12,193,182.7
2014,Annual,Cancer Deaths,Tennessee,44,213.5,1.37,215.6,211.5
2014,Annual,Cancer Deaths,Texas,14,182.5,-0.43,183.6,181.5
2014,Annual,Cancer Deaths,Utah,1,145.7,-2,148.7,142.6
2014,Annual,Cancer Deaths,Vermont,32,195.6,0.33,201.5,189.6
2014,Annual,Cancer Deaths,Virginia,23,189.5,-0.02,191.3,187.8
2014,Annual,Cancer Deaths,Washington,16,184.7,-0.3,186.6,182.8
2014,Annual,Cancer Deaths,West Virginia,48,220.5,1.77,224.1,216.9
2014,Annual,Cancer Deaths,Wisconsin,31,193.2,0.19,195.2,191.1
2014,Annual,Cancer Deaths,Wyoming,12,180.2,-0.56,186.7,173.7
2014,Annual,Cancer Deaths,District of Columbia,,201.4,,208.3,194.5
2014,Annual,Cancer Deaths,United States,,189.9,,190.2,189.6
2014,Annual,Cardiovascular Deaths,Alabama,49,329.2,2,332.1,326.2
2014,Annual,Cardiovascular Deaths,Alaska,14,219.2,-0.86,227.8,210.5
2014,Annual,Cardiovascular Deaths,Arizona,10,216.1,-0.94,218.2,214.1
2014,Annual,Cardiovascular Deaths,Arkansas,47,313.7,1.66,317.3,310
2014,Annual,Cardiovascular Deaths,California,23,234.4,-0.45,235.3,233.4
2014,Annual,Cardiovascular Deaths,Colorado,2,197.1,-1.45,199.5,194.7
2014,Annual,Cardiovascular Deaths,Connecticut,11,216.5,-0.93,219,213.9
2014,Annual,Cardiovascular Deaths,Delaware,29,246.9,-0.12,252.7,241.1
2014,Annual,Cardiovascular Deaths,Florida,15,223,-0.76,224.1,222
2014,Annual,Cardiovascular Deaths,Georgia,38,273,0.58,275.1,270.8
2014,Annual,Cardiovascular Deaths,Hawaii,3,199.1,-1.4,203.1,195.1
2014,Annual,Cardiovascular Deaths,Idaho,20,230.7,-0.55,235.2,226.2
2014,Annual,Cardiovascular Deaths,Illinois,32,253.9,0.07,255.5,252.3
2014,Annual,Cardiovascular Deaths,Indiana,39,274.4,0.61,276.7,272
2014,Annual,Cardiovascular Deaths,Iowa,26,245.4,-0.16,248.3,242.4
2014,Annual,Cardiovascular Deaths,Kansas,27,245.6,-0.15,248.8,242.4
2014,Annual,Cardiovascular Deaths,Kentucky,43,297.3,1.23,300.3,294.3
2014,Annual,Cardiovascular Deaths,Louisiana,46,307.5,1.5,310.6,304.4
2014,Annual,Cardiovascular Deaths,Maine,9,215.4,-0.96,219.5,211.3
2014,Annual,Cardiovascular Deaths,Maryland,30,250.7,-0.02,253.1,248.3
2014,Annual,Cardiovascular Deaths,Massachusetts,4,206.9,-1.19,208.8,205
2014,Annual,Cardiovascular Deaths,Michigan,42,282.4,0.83,284.2,280.5
2014,Annual,Cardiovascular Deaths,Minnesota,1,184.7,-1.78,186.8,182.6
2014,Annual,Cardiovascular Deaths,Mississippi,50,346,2,350,342
2014,Annual,Cardiovascular Deaths,Missouri,41,281.1,0.79,283.5,278.8
2014,Annual,Cardiovascular Deaths,Montana,16,224.8,-0.71,229.9,219.8
2014,Annual,Cardiovascular Deaths,Nebraska,17,224.9,-0.71,228.7,221.1
2014,Annual,Cardiovascular Deaths,Nevada,36,271.9,0.55,275.9,267.9
2014,Annual,Cardiovascular Deaths,New Hampshire,7,213.8,-1,218.2,209.4
2014,Annual,Cardiovascular Deaths,New Jersey,28,246.8,-0.12,248.6,245
2014,Annual,Cardiovascular Deaths,New Mexico,12,217,-0.92,220.8,213.3
2014,Annual,Cardiovascular Deaths,New York,35,260.8,0.25,262.1,259.6
2014,Annual,Cardiovascular Deaths,North Carolina,31,252.2,0.02,254,250.3
2014,Annual,Cardiovascular Deaths,North Dakota,18,226.8,-0.66,232.8,220.7
2014,Annual,Cardiovascular Deaths,Ohio,40,274.6,0.62,276.3,272.9
2014,Annual,Cardiovascular Deaths,Oklahoma,48,322,1.89,325.3,318.7
2014,Annual,Cardiovascular Deaths,Oregon,5,210.5,-1.09,213.1,208
2014,Annual,Cardiovascular Deaths,Pennsylvania,34,259.7,0.22,261.2,258.3
2014,Annual,Cardiovascular Deaths,Rhode Island,19,229.1,-0.6,233.9,224.3
2014,Annual,Cardiovascular Deaths,South Carolina,37,272.2,0.56,275,269.4
2014,Annual,Cardiovascular Deaths,South Dakota,21,233.1,-0.49,238.7,227.5
2014,Annual,Cardiovascular Deaths,Tennessee,44,300.6,1.31,303.1,298.1
2014,Annual,Cardiovascular Deaths,Texas,33,255.3,0.1,256.6,254
2014,Annual,Cardiovascular Deaths,Utah,6,212.2,-1.05,216,208.4
2014,Annual,Cardiovascular Deaths,Vermont,13,218.4,-0.88,224.7,212.1
2014,Annual,Cardiovascular Deaths,Virginia,25,241.1,-0.28,243.1,239
2014,Annual,Cardiovascular Deaths,Washington,8,214.8,-0.98,216.8,212.7
2014,Annual,Cardiovascular Deaths,West Virginia,45,303.7,1.4,308,299.5
2014,Annual,Cardiovascular Deaths,Wisconsin,24,236.8,-0.39,239,234.6
2014,Annual,Cardiovascular Deaths,Wyoming,22,233.6,-0.48,241.1,226
2014,Annual,Cardiovascular Deaths,District of Columbia,,288.2,,296.5,280
2014,Annual,Cardiovascular Deaths,United States,,251.4,,251.7,251.1
2014,Annual,Children in Poverty,Alabama,43,26.4,0.327,32.5,20.3
2014,Annual,Children in Poverty,Alaska,17,15.9,-0.201,22.4,9.4
2014,Annual,Children in Poverty,Arizona,47,27.2,0.367,31.1,23.3
2014,Annual,Children in Poverty,Arkansas,40,23.8,0.196,32,15.6
2014,Annual,Children in Poverty,California,33,20.3,0.02,22.3,18.3
2014,Annual,Children in Poverty,Colorado,6,14,-0.296,18.7,9.3
2014,Annual,Children in Poverty,Connecticut,14,15.3,-0.231,19.2,11.4
2014,Annual,Children in Poverty,Delaware,36,22.7,0.141,29.2,16.2
2014,Annual,Children in Poverty,Florida,29,19.3,-0.03,22.6,16
2014,Annual,Children in Poverty,Georgia,37,23.2,0.166,28.5,17.9
2014,Annual,Children in Poverty,Hawaii,3,12.7,-0.362,17,8.4
2014,Annual,Children in Poverty,Idaho,20,16,-0.196,21.7,10.3
2014,Annual,Children in Poverty,Illinois,25,17.7,-0.111,21.2,14.2
2014,Annual,Children in Poverty,Indiana,13,14.7,-0.261,20,9.4
2014,Annual,Children in Poverty,Iowa,10,14.3,-0.281,17.4,11.2
2014,Annual,Children in Poverty,Kansas,27,18.1,-0.09,23,13.2
2014,Annual,Children in Poverty,Kentucky,50,31.8,2,38.3,25.3
2014,Annual,Children in Poverty,Louisiana,44,26.5,0.332,33.2,19.8
2014,Annual,Children in Poverty,Maine,35,20.9,0.05,27.4,14.4
2014,Annual,Children in Poverty,Maryland,14,15.3,-0.231,19,11.6
2014,Annual,Children in Poverty,Massachusetts,14,15.3,-0.231,20.8,9.8
2014,Annual,Children in Poverty,Michigan,31,19.8,-0.005,24.1,15.5
2014,Annual,Children in Poverty,Minnesota,6,14,-0.296,17.9,10.1
2014,Annual,Children in Poverty,Mississippi,49,30.5,0.533,37.6,23.4
2014,Annual,Children in Poverty,Missouri,31,19.8,-0.005,24.7,14.9
2014,Annual,Children in Poverty,Montana,33,20.3,0.02,29.9,10.7
2014,Annual,Children in Poverty,Nebraska,10,14.3,-0.281,19.2,9.4
2014,Annual,Children in Poverty,Nevada,42,25.3,0.271,32,18.6
2014,Annual,Children in Poverty,New Hampshire,5,13.5,-0.322,17.8,9.2
2014,Annual,Children in Poverty,New Jersey,21,16.5,-0.171,21.2,11.8
2014,Annual,Children in Poverty,New Mexico,48,28.7,0.442,37.9,19.5
2014,Annual,Children in Poverty,New York,30,19.5,-0.02,22.6,16.4
2014,Annual,Children in Poverty,North Carolina,46,26.8,0.347,33.5,20.1
2014,Annual,Children in Poverty,North Dakota,8,14.1,-0.291,22.1,6.1
2014,Annual,Children in Poverty,Ohio,22,16.9,-0.151,21.2,12.6
2014,Annual,Children in Poverty,Oklahoma,26,17.8,-0.106,25.2,10.4
2014,Annual,Children in Poverty,Oregon,24,17,-0.146,23.7,10.3
2014,Annual,Children in Poverty,Pennsylvania,22,16.9,-0.151,21,12.8
2014,Annual,Children in Poverty,Rhode Island,37,23.2,0.166,29.3,17.1
2014,Annual,Children in Poverty,South Carolina,28,18.5,-0.07,24.2,12.8
2014,Annual,Children in Poverty,South Dakota,4,13,-0.347,19.3,6.7
2014,Annual,Children in Poverty,Tennessee,45,26.7,0.342,33,20.4
2014,Annual,Children in Poverty,Texas,41,24.2,0.216,27.3,21.1
2014,Annual,Children in Poverty,Utah,1,9.2,-2,12.5,5.9
2014,Annual,Children in Poverty,Vermont,2,12.1,-0.392,17.2,7
2014,Annual,Children in Poverty,Virginia,12,14.5,-0.271,18.6,10.4
2014,Annual,Children in Poverty,Washington,17,15.9,-0.201,21,10.8
2014,Annual,Children in Poverty,West Virginia,39,23.3,0.171,30.4,16.2
2014,Annual,Children in Poverty,Wisconsin,17,15.9,-0.201,20.4,11.4
2014,Annual,Children in Poverty,Wyoming,8,14.1,-0.291,18.2,10
2014,Annual,Children in Poverty,United States,,19.9,,20.7,19.1
2014,Annual,Children in Poverty,District of Columbia,,37.2,,46,28.4
2014,Annual,Chlamydia,Alabama,48,637.6,1.58,,
2014,Annual,Chlamydia,Alaska,49,755.8,2,,
2014,Annual,Chlamydia,Arizona,34,469.6,0.11,,
2014,Annual,Chlamydia,Arkansas,44,565.4,0.95,,
2014,Annual,Chlamydia,California,28,444.9,-0.1,,
2014,Annual,Chlamydia,Colorado,23,422.7,-0.3,,
2014,Annual,Chlamydia,Connecticut,12,364.9,-0.8,,
2014,Annual,Chlamydia,Delaware,37,489.2,0.28,,
2014,Annual,Chlamydia,Florida,19,407.4,-0.43,,
2014,Annual,Chlamydia,Georgia,43,534,0.67,,
2014,Annual,Chlamydia,Hawaii,32,461.2,0.04,,
2014,Annual,Chlamydia,Idaho,6,287.1,-1.48,,
2014,Annual,Chlamydia,Illinois,42,526.1,0.61,,
2014,Annual,Chlamydia,Indiana,29,452.7,-0.03,,
2014,Annual,Chlamydia,Iowa,15,371.5,-0.74,,
2014,Annual,Chlamydia,Kansas,17,387.8,-0.6,,
2014,Annual,Chlamydia,Kentucky,18,395.3,-0.54,,
2014,Annual,Chlamydia,Louisiana,47,597.9,1.23,,
2014,Annual,Chlamydia,Maine,2,257,-1.74,,
2014,Annual,Chlamydia,Maryland,30,455.3,-0.01,,
2014,Annual,Chlamydia,Massachusetts,10,357.5,-0.87,,
2014,Annual,Chlamydia,Michigan,36,481.6,0.22,,
2014,Annual,Chlamydia,Minnesota,8,337.8,-1.04,,
2014,Annual,Chlamydia,Mississippi,50,774,2,,
2014,Annual,Chlamydia,Missouri,33,463.1,0.06,,
2014,Annual,Chlamydia,Montana,16,383.4,-0.64,,
2014,Annual,Chlamydia,Nebraska,13,366.2,-0.79,,
2014,Annual,Chlamydia,Nevada,20,408.9,-0.42,,
2014,Annual,Chlamydia,New Hampshire,1,233,-1.95,,
2014,Annual,Chlamydia,New Jersey,7,309.2,-1.29,,
2014,Annual,Chlamydia,New Mexico,45,571.4,1,,
2014,Annual,Chlamydia,New York,40,516.5,0.52,,
2014,Annual,Chlamydia,North Carolina,41,524,0.59,,
2014,Annual,Chlamydia,North Dakota,24,425.2,-0.27,,
2014,Annual,Chlamydia,Ohio,31,460.3,0.03,,
2014,Annual,Chlamydia,Oklahoma,27,444.2,-0.11,,
2014,Annual,Chlamydia,Oregon,9,347.5,-0.95,,
2014,Annual,Chlamydia,Pennsylvania,25,431.6,-0.22,,
